BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;27.05.2014;Индекс МосБиржи;Индекс МосБиржи;1417,32;1449,38;1449,57;1410,07;45006497893;;;2;6,39619E+12;RUB;4512891870;3;
SNDX;IMOEX;28.05.2014;Индекс МосБиржи;Индекс МосБиржи;1425,95;1417,38;1429,84;1408,77;33227619823;;;2;6,43515E+12;RUB;4512891870;3;
SNDX;IMOEX;29.05.2014;Индекс МосБиржи;Индекс МосБиржи;1447,39;1426,69;1449,63;1426,69;36824096831;;;2;6,5319E+12;RUB;4512891870;3;
SNDX;IMOEX;30.05.2014;Индекс МосБиржи;Индекс МосБиржи;1432,03;1447,76;1450,76;1432,03;36441485124;;;2;6,4626E+12;RUB;4512891870;3;
SNDX;IMOEX;02.06.2014;Индекс МосБиржи;Индекс МосБиржи;1464,47;1432,67;1475,11;1432,67;41085413396;;;2;6,60902E+12;RUB;4512891870;3;
SNDX;IMOEX;03.06.2014;Индекс МосБиржи;Индекс МосБиржи;1472,83;1463,62;1472,83;1449,78;35421804972;;;2;6,64672E+12;RUB;4512891870;3;
SNDX;IMOEX;04.06.2014;Индекс МосБиржи;Индекс МосБиржи;1475,79;1472,06;1482,68;1466,02;32306371771;;;2;6,66007E+12;RUB;4512891870;3;
SNDX;IMOEX;05.06.2014;Индекс МосБиржи;Индекс МосБиржи;1470,7;1476,06;1483,88;1465,87;36330897151;;;2;6,63711E+12;RUB;4512891870;3;
SNDX;IMOEX;06.06.2014;Индекс МосБиржи;Индекс МосБиржи;1484,94;1470,73;1486,59;1457,67;38599777176;;;2;6,70138E+12;RUB;4512891870;3;
SNDX;IMOEX;09.06.2014;Индекс МосБиржи;Индекс МосБиржи;1485,39;1485,27;1497,96;1484,27;26374925321;;;2;6,70339E+12;RUB;4512891870;3;
SNDX;IMOEX;10.06.2014;Индекс МосБиржи;Индекс МосБиржи;1490,81;1485,24;1490,81;1475,97;29430518122;;;2;6,72788E+12;RUB;4512891870;3;
SNDX;IMOEX;11.06.2014;Индекс МосБиржи;Индекс МосБиржи;1501,18;1490,8;1501,18;1487,42;28766800825;;;2;6,77467E+12;RUB;4512891870;3;
SNDX;IMOEX;16.06.2014;Индекс МосБиржи;Индекс МосБиржи;1493,93;1501,17;1501,17;1467,09;64386743439;;;2;6,74194E+12;RUB;4512891870;3;
